@RELATION class02 (copy)_18_01_06_13_10
@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE x55 NUMERIC
@ATTRIBUTE x56 NUMERIC
@ATTRIBUTE x57 NUMERIC
@ATTRIBUTE x58 NUMERIC
@ATTRIBUTE x59 NUMERIC
@ATTRIBUTE x60 NUMERIC
@ATTRIBUTE x61 NUMERIC
@ATTRIBUTE x62 NUMERIC
@ATTRIBUTE x63 NUMERIC
@ATTRIBUTE x64 NUMERIC
@ATTRIBUTE x65 NUMERIC
@ATTRIBUTE x66 NUMERIC
@ATTRIBUTE x67 NUMERIC
@ATTRIBUTE x68 NUMERIC
@ATTRIBUTE x69 NUMERIC
@ATTRIBUTE x70 NUMERIC
@ATTRIBUTE x71 NUMERIC
@ATTRIBUTE x72 NUMERIC
@ATTRIBUTE x73 NUMERIC
@ATTRIBUTE x74 NUMERIC
@ATTRIBUTE x75 NUMERIC
@ATTRIBUTE x76 NUMERIC
@ATTRIBUTE x77 NUMERIC
@ATTRIBUTE x78 NUMERIC
@ATTRIBUTE x79 NUMERIC
@ATTRIBUTE x80 NUMERIC
@ATTRIBUTE x81 NUMERIC
@ATTRIBUTE x82 NUMERIC
@ATTRIBUTE x83 NUMERIC
@ATTRIBUTE x84 NUMERIC
@ATTRIBUTE x85 NUMERIC
@ATTRIBUTE x86 NUMERIC
@ATTRIBUTE x87 NUMERIC
@ATTRIBUTE x88 NUMERIC
@ATTRIBUTE x89 NUMERIC
@ATTRIBUTE x90 NUMERIC
@ATTRIBUTE x91 NUMERIC
@ATTRIBUTE x92 NUMERIC
@ATTRIBUTE x93 NUMERIC
@ATTRIBUTE x94 NUMERIC
@ATTRIBUTE x95 NUMERIC
@ATTRIBUTE x96 NUMERIC
@ATTRIBUTE x97 NUMERIC
@ATTRIBUTE x98 NUMERIC
@ATTRIBUTE x99 NUMERIC
@ATTRIBUTE class        {0.0,1.0,2.0,3.0,4.0,5.0}
@DATA
1.7539159,-1.2838086,-0.47443467,-0.3285019,1.1627488,1.110096,-0.5327736,1.0419464,0.3936444,1.5088935,0.9567923,1.0235392,-0.13780025,2.214334,-1.2964032,0.28997314,-0.5343582,-0.28104222,0.69472957,-1.4332656,0.92498153,-2.0571806,-0.54913694,-3.17345,0.5865008,-0.7066546,-0.297165,1.7952908,0.06245412,-0.042865384,2.245995,-1.0954943,2.2040005,-0.4408009,0.7079139,-0.5238845,-0.16913076,0.589126,0.46660647,1.2870915,0.6868999,0.3091704,0.6869192,-0.5985942,-0.39216772,-0.046948835,0.64508575,0.19584696,-0.5461337,-2.2372737,-0.25102562,-0.20520668,-1.1771259,-0.047338266,0.2575512,-3.533431,-0.63764656,-0.8239778,0.45157498,0.7364264,0.2761463,1.1283481,-0.10813693,-1.4919537,0.27808657,-0.05459983,-0.9292137,-0.81947076,1.1392057,0.25627163,1.4275818,0.7845416,-1.372444,0.41066626,-1.7141386,1.5569848,-0.3087112,0.49579057,1.7948474,-0.8952072,-0.9943837,1.327057,0.45951426,-0.42702836,-1.2334229,-0.08286715,0.5810933,-0.4549646,2.2199442,-0.07262027,-2.287802,-0.10262291,0.23364389,-1.7116281,0.81631243,2.7004924,2.813359,0.34339064,0.34873387,-0.2697517,5.0
0.57913905,0.499696,1.8484205,-2.0376635,-0.49075517,-0.8749751,0.9882457,0.11719503,0.6413432,1.0413249,2.5144165,-0.9663101,0.723605,-0.23772378,-1.1458755,-1.1433983,1.5373228,-0.5073529,-1.5279089,-1.3834227,-3.5992641,-0.41761756,0.7934352,0.66467196,1.328668,-0.2538218,0.27517673,1.3206321,-0.3500887,0.15210854,-0.17031585,0.9625612,0.8008137,1.0808218,-0.6698887,0.095473774,0.76524603,-1.0301406,-0.86540234,-0.91849744,-0.60023034,-3.6271007,-0.08297973,0.7700599,-0.5244085,-1.0244492,-0.9167209,-1.9823607,-0.3228635,1.3096559,-0.62390804,-2.5685391,-0.9907851,-1.0563769,-0.527113,2.4410038,-0.74294853,2.3600047,-0.4050168,0.44884673,-0.4543979,1.2704588,-0.83589983,1.1359652,1.5411317,0.33545947,3.522019,-0.57559454,1.4557453,-1.7125096,-0.44455996,1.6234871,-1.8218443,0.41728273,1.865907,-0.17914017,0.041671854,-0.028276209,-0.9238232,-0.3256957,0.55455816,-1.464702,-0.387375,-1.8351471,2.5198143,-0.73786575,-0.1594678,0.5201133,0.4186876,2.2883406,-1.0498987,-0.113718286,0.9186331,1.2124125,2.5349958,-1.6945146,-2.5190809,0.5310622,-0.42992502,-1.0336249,2.0
3.455631,-0.8435934,-1.1802628,-1.3889709,-0.763881,-0.80979115,-0.22505215,0.81878734,1.0211527,-0.48673603,3.9927564,-2.13325,0.89158285,0.3327799,-0.9615191,-0.52691287,-1.8810992,0.1694616,-2.2135665,0.16371816,-4.2873683,-1.0203704,-0.0034369181,2.015521,-1.0083932,0.23522025,-0.43953153,1.0657136,0.41358444,-0.6856485,-0.5273216,2.8251462,0.5662952,0.22983357,1.1344019,-0.90972865,1.8972116,1.9120733,0.10440438,-1.9627728,-1.5306238,-3.5725467,1.0261014,0.4668376,0.21185555,0.06833106,0.65942544,-1.2114341,0.73281604,0.8586417,0.938541,-1.5701406,0.41778493,1.4548047,-1.3351512,3.2570868,-0.8710357,4.209667,0.8873245,-0.988987,0.70921296,-0.062775455,-0.64375335,0.31976327,1.5320444,-0.66447365,3.2843535,-0.48129043,0.5750272,-0.3519062,-1.1249187,-0.8862813,-1.7964094,0.9009148,-1.71792,0.16322969,1.0475407,0.42720386,-1.0642179,-0.8929267,1.1126208,-2.5247624,-0.04024168,0.54449505,2.4423208,-0.4158764,-0.20632944,0.63473153,0.42733747,-0.73153985,-1.5263041,-0.8121839,-0.67795753,2.5451837,2.228583,-1.9112873,-3.9656353,1.2930032,0.19637854,-0.7398229,3.0
2.9170327,-1.3692272,1.3126882,-0.44518542,0.2180928,1.9900295,-1.1766652,-0.116771676,1.2424372,0.100773245,1.2212741,1.3756994,1.6968899,0.40693778,-0.09748523,-0.14242074,1.7608314,0.47884688,-0.23092963,-0.12557559,1.3159225,-0.9069281,-1.6572225,1.0095838,-1.206683,1.0548924,0.20351036,0.5091792,-0.17735656,-0.25738928,-0.2103045,0.31596372,0.5873934,-0.6817399,0.70913714,0.29511276,0.01849006,0.42663068,-0.54473644,-0.82285047,-0.5020209,-0.4445832,1.1656394,-0.70626634,-0.20023334,-0.74643636,-0.47889835,-0.6283308,-1.2251835,0.8099345,-0.67434585,1.0302329,-1.9274825,-1.4449224,0.9237779,-1.7339307,-0.58950716,-0.2408154,-0.95245427,-0.2950027,0.86555874,-0.9003169,0.32615885,-0.45889908,0.8903821,0.46322447,0.27088335,0.6836922,-0.43172067,1.2507081,0.73586243,1.1810006,0.34397396,0.40548095,-0.38715106,-1.9434432,-0.9967519,0.018280085,1.1830229,-0.43955436,-2.161361,0.6442891,-0.25669503,0.94404215,0.3563567,-0.42292923,0.61511886,0.11389757,2.5159314,-0.06519888,-0.9109001,-1.6917018,-1.9038625,-0.437867,-0.54227173,1.1045842,-1.132434,0.58051854,0.95303535,1.6432713,0.0
1.5652959,-0.072016,1.2636724,0.9269465,-1.7695475,0.74573076,0.9770342,3.0029042,1.8471785,-1.1326753,5.6572514,-1.5299007,0.14295563,3.6287978,0.8636046,0.4494643,-0.9490065,-1.9620509,-1.8160316,0.04711491,-1.7705013,-3.8666787,-2.0575643,-0.17270158,0.35737303,0.5158912,-0.18129055,1.9106736,-0.067264676,0.08599326,-2.2686188,3.56788,1.132262,-0.7940388,0.017885786,0.22481447,0.26421532,0.28842935,2.3240438,-1.4548008,-2.0465553,-0.8987814,2.3277152,-0.6009673,1.7192003,-0.30722728,1.5260152,-1.1560092,1.3568578,-1.164506,0.008382685,1.2109449,0.20323008,2.0326807,-0.7109882,-1.169432,-0.5541754,4.145398,-0.61212415,-1.0194638,0.23512426,0.24316247,-0.63272077,0.17120737,0.45121086,0.048216607,0.16010492,-1.2937336,1.0561349,0.71840805,0.14093012,-0.68308294,-2.343045,0.87059385,0.42121208,-0.02218674,-1.2671793,0.91074914,1.352392,1.4776458,-1.0385141,-0.9829941,-1.0850978,-0.26724708,0.04365696,0.52672774,1.8015454,-0.60113543,3.5793684,1.722877,-4.4435124,0.15810524,3.591999,1.8664434,1.9308615,1.7311621,-1.2069663,-0.9567066,-0.34348798,1.1949394,3.0
1.66484,0.7802628,-0.49293408,-0.6877512,-0.27397692,-0.20173578,-0.51795715,-0.43905193,0.4414502,0.1734397,1.0563247,1.4337697,-0.23791115,0.039378043,-0.7921142,-0.2090409,0.26853806,2.6692083,-0.21952195,-0.072653614,1.1784221,-0.629041,-1.5810534,1.3525659,0.11571033,0.17482202,0.79064983,0.4495772,1.3473663,1.7828246,-0.3303205,0.19080281,0.103535816,0.18381445,-0.047404777,0.31036443,0.44631937,-1.3747251,-0.87622434,-0.9241523,-0.40976787,-0.7857684,1.2255905,0.74310297,1.1341108,0.71010256,0.9408814,0.11183208,0.57454306,0.64122266,0.51413536,0.7871749,2.0464215,0.51468945,1.2275183,-1.4075896,0.1049343,-0.3117098,0.6741128,-0.47529918,0.03177313,0.14864889,1.7666174,1.0449798,0.27592024,0.31832042,0.60274225,0.90891975,1.8321731,1.3838919,0.6401512,0.49952257,0.4905052,0.54510087,-0.13021943,-2.109081,-0.7628473,1.2108371,1.018316,-0.42550036,-1.5868762,0.4925548,-0.91603166,-0.9396621,0.5855801,-0.6031523,1.1902597,-0.45967865,2.270564,-0.8142102,-0.57386774,1.2045538,-0.5139934,-0.471974,-0.68011385,0.8097755,-1.5300196,0.84955525,-0.6396809,0.2956476,3.0
0.26017907,0.11117181,0.8594098,-1.43056,0.72152644,0.36537376,1.2677839,2.853179,-2.6245756,-0.82402456,1.9775472,-1.02682,-0.14586255,1.2021343,0.23801965,-0.33004415,-1.3180723,-0.588004,-2.5391762,-0.47561416,-0.6016737,-0.82519823,0.74709976,-0.51125115,-0.5677727,-0.8866648,0.9551265,-0.772817,0.53485507,0.59490997,-0.386817,2.8955474,1.663888,1.0634422,0.08057047,-0.005116755,-0.4889244,-0.5261673,2.3849828,-0.6903907,-2.9753277,2.006041,-4.545326,-0.025944415,0.808572,0.405574,0.26318783,-1.3397536,-2.6668398,-0.5342725,1.5000776,1.7986033,-0.08221964,-3.9677114,-1.3154371,1.2116332,-1.5410724,2.0328655,-0.9549255,0.8507049,-0.5764649,0.23919126,0.092300296,0.37870196,-0.7551708,1.247864,-0.04884276,-3.0220015,2.526083,0.26856062,0.16424799,1.3787664,-1.4479635,-4.38753,-0.44433233,0.1030313,0.8285788,-0.7421628,-0.5802648,0.9092939,-0.528005,1.2650188,2.2841868,0.48379266,1.6084731,2.20945,0.93793935,1.5258127,2.7015615,0.68646044,-2.5566437,-0.49816087,-0.6489303,3.1966991,3.9774628,-0.87074876,0.62355477,1.1261649,-0.21026818,0.58567756,1.0
1.5310812,0.4275518,-0.074162014,-0.7770932,-0.75048655,0.4246045,0.9087833,0.98450696,-1.2217851,-0.6386014,2.3476603,-1.3726163,-0.66730493,1.7962383,-0.9533235,-0.4242517,1.3240448,0.889401,-0.058421876,-0.16786706,-1.5110978,-1.8132933,-0.901164,-0.38661116,-2.2315543,-0.41261286,-0.75061494,1.2427373,2.2269032,1.3833297,1.0081376,1.1551836,-0.32206982,-0.24390775,-1.2539028,0.0024617855,1.2459345,-0.37376216,1.005687,-0.29435086,0.041035384,-0.9874348,2.8396804,0.25627962,0.5780104,1.4974958,-0.21044388,0.78019613,-1.6380403,-0.3481759,-0.32153276,-0.2515621,-1.8081173,-4.3362842E-4,0.18448888,-0.42304128,1.5296103,2.1101918,-0.7692286,-2.223853,0.2241381,-0.34910265,0.5719358,0.26477277,1.1651236,-0.43181732,-0.2042576,0.008877975,-0.03746989,0.03183756,-0.3807551,0.7078163,-1.088079,2.1309583,-0.23349635,0.25864118,-0.8621634,1.3233299,0.5543707,-0.012864382,-2.119552,-1.5015503,-0.3720822,0.21637149,-0.92765385,-0.24587506,-0.11550943,1.5339215,-0.012531613,0.347357,-1.4699664,-0.5119504,0.9547948,0.24043773,-0.14582697,0.9987803,-0.43617797,0.54638875,0.8241633,0.721331,0.0
-0.2683374,0.9006529,-1.0590664,-0.8723688,0.09265431,0.24435842,-0.24392472,2.367603,0.13117163,-2.3368924,-1.5675949,-4.623471,-1.0985538,0.59888315,1.7968632,0.9313864,-0.0784921,-1.3307201,-0.40725765,0.43552718,-2.7586765,1.1002129,3.288225,-2.276188,2.1737134,0.12851264,-0.27487406,-2.0494335,-0.048268404,1.7604647,-0.83007634,1.740197,-0.60074455,0.32748777,0.6520572,-0.82497984,0.9010957,-0.50876284,3.844874,1.3538208,-0.51540214,3.5114558,-3.4538052,1.5918865,0.44941288,-0.441993,1.5836701,0.8509982,-0.28366768,-0.026767477,-1.5048189,0.11252149,2.2104163,-1.5395889,-0.65389144,4.1376696,-0.3754678,2.320507,-0.01121003,0.21699436,1.7244939,0.47670284,0.40379232,0.75987184,0.89988774,-1.4398277,-2.5654218,-2.8122637,0.91489935,-0.30059057,-2.0946066,-0.52714634,-1.0008748,-2.3587778,0.3521068,-0.21133816,-0.69952875,0.26664335,-2.6977742,-1.6281536,-0.5414386,-1.4437827,0.47672528,0.648228,-1.6165516,2.5972738,0.6705517,-0.17914648,-5.1107583,-1.7762241,0.7578724,1.0344102,0.15926063,3.0081172,1.8221369,-2.1999512,3.196142,-2.2952385,-0.3359573,-2.0483053,1.0
-0.4450711,-1.1523123,-0.17644092,-0.43575278,0.1000105,1.3735881,-1.36236,0.8412909,1.1934823,0.28711703,2.7826679,0.82866275,-0.19453141,1.8998214,-0.59960145,-0.883744,0.21951562,-1.2582965,-0.31797883,0.19717084,0.5097407,-2.3476431,-1.9870293,-0.17298728,-0.06383349,-0.11523709,0.6146474,1.6099459,0.83271474,1.5119468,0.46736526,0.74345064,-1.1884272,0.23127633,0.69888496,1.5053217,-2.1817322,-0.04107053,0.17565818,-0.62209934,-0.4854115,-0.89909065,2.2329128,0.20122494,-1.2876939,0.4787591,0.5400061,0.26491833,-0.77735436,1.8723209,-1.1197898,0.70440376,1.6586361,-0.29511002,-0.41007683,-2.5844176,-0.46730098,0.7821924,2.4685848,-0.21068613,2.1274993,0.6016105,-0.9319998,-0.31711128,-0.8930573,0.40418464,0.1470153,0.14417438,-0.8415009,0.041987125,0.9173868,-0.4574603,-0.8122188,1.1812109,-0.3899112,1.0613444,1.1674612,1.0223507,1.7694851,0.25149003,-0.20201671,0.3013283,-0.121577516,0.6798897,-0.15146188,-0.43351758,-0.5658131,-1.1508803,3.2013578,-1.3017482,-2.4325871,-0.6060692,0.1420031,-0.5052563,0.13869216,2.0873754,-0.5477045,0.31667966,-0.11021728,-0.36332047,0.0
