@RELATION clus01 (copy)_18_01_06_11_35
@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
-0.45037043,-2.2443767,-0.49967805,-1.1636069,0.0
1.8661588,-1.1804072,1.8983482,-1.0725116,0.0
-1.7313855,0.24874581,0.17704472,-1.6187083,0.0
-2.211184,-0.06627998,0.7481906,-0.96779555,0.0
0.7394553,1.7621241,2.3192105,2.0802705,0.0
1.7731344,-1.0890111,1.4493153,-1.2681664,0.0
-2.0396304,-2.434632,-0.11740533,-0.56833524,0.0
-1.0161353,-0.10499738,-0.24190004,-1.7534668,0.0
-0.81655324,-2.3646932,-1.2455946,-2.5528433,0.0
-0.90224385,-0.95448273,-0.43070373,-1.5906978,0.0
-1.4453566,-1.3955424,0.30975214,-1.5956188,0.0
-1.1227062,-0.7204777,-0.74772465,-0.6469985,0.0
1.2049801,-2.316305,-0.098572716,-1.4458177,0.0
-0.2928078,-1.0310531,-0.035072852,-1.4700586,0.0
0.6795061,0.88844645,0.74059206,0.05636702,0.0
0.93820256,2.8057966,0.4374278,2.1473818,0.0
1.2066368,-0.723583,0.43544325,-1.3214543,0.0
1.2261555,0.8233526,0.79573214,-0.094233565,0.0
-1.1892567,-1.019169,0.36717504,-0.51913035,0.0
1.4235932,-1.1961979,0.033543482,-0.7115502,0.0
0.8413364,-0.5455966,0.68271834,0.20290773,0.0
0.16425249,1.1000602,2.2127604,2.5619102,0.0
1.3076508,1.5452555,1.320441,2.1721447,0.0
0.32081008,-1.9470061,1.1041465,-1.1198794,0.0
0.14451054,1.4990989,0.8317722,0.7376254,0.0
1.7738682,1.8309212,1.4471111,0.19989656,0.0
2.0858064,1.0809722,1.825508,1.0472629,0.0
0.28155246,0.1126089,1.1987377,-1.0049441,0.0
-2.3421443,-2.0297885,-0.76460546,-1.5159205,0.0
1.6181768,0.94551396,0.8736641,3.2351754,0.0
-1.9151589,-2.1185105,-1.4410175,-0.48763114,0.0
1.285777,-0.19180852,1.7204089,1.3308183,0.0
0.22197942,1.1725533,1.3487552,1.7981043,0.0
1.374154,1.6213588,0.77553266,2.256648,0.0
-1.2207077,-1.6587158,-0.82774144,-1.561596,0.0
1.1262136,-1.669295,0.58642715,-0.1284713,0.0
-0.80639297,-0.99401075,-2.099617,-0.051098946,0.0
1.2156354,0.725846,1.1883888,0.7597654,0.0
-1.3685886,-1.9256432,-0.7136545,-0.5333605,0.0
1.8232077,-0.20566197,1.3011001,-0.64402527,0.0
0.6238462,-0.6720335,1.8512046,-1.5035251,0.0
-0.7478418,-0.6210751,-1.7004405,-1.5985669,0.0
1.7882352,0.96402436,-0.24112272,1.883345,0.0
-0.4676457,-2.2200632,-1.4252981,0.0977277,0.0
2.7522202,-1.338789,1.4894487,-2.1253488,0.0
1.8868378,0.5046314,1.3106736,1.5422438,0.0
0.8465172,-0.78868866,-1.2704257,-2.5437062,0.0
-0.90088296,-0.667319,-0.18053687,-2.1586573,0.0
1.8046411,-2.102039,1.2853829,-0.59330034,0.0
-2.2893283,-0.37555268,-1.4129246,-0.51091784,0.0
1.1576889,-0.5752665,1.9874846,-1.2167976,0.0
2.1353116,-1.3638839,0.06728515,-0.558007,0.0
2.0260851,-0.23522352,1.3657117,-1.3140178,0.0
-1.8876958,-1.1177814,-0.9521399,-2.2225268,0.0
0.02294756,1.4139445,0.49320677,0.8632268,0.0
1.5563309,0.40448606,1.8662252,0.10483988,0.0
0.55928403,-1.8628124,1.3001678,-2.0192325,0.0
-0.41947335,-1.4421561,-0.7961581,-1.2545013,0.0
-0.32553026,1.1493056,1.0008439,0.42803797,0.0
2.346412,0.4577695,-0.18242812,0.6701154,0.0
1.097875,-0.8330507,1.6199039,0.24717934,0.0
2.4855094,1.7227256,-0.06355897,0.66103613,0.0
0.70278126,-0.72165376,0.67608434,-1.2149339,0.0
1.0620604,1.138121,0.5676437,0.778749,0.0
0.8437584,2.0429044,-0.12063278,0.42005208,0.0
0.92852783,-0.97371286,1.2804492,-1.5516534,0.0
0.73107284,-1.5334934,2.8101826,-0.7066645,0.0
-1.8063983,-0.9236419,-0.7298209,-1.8236514,0.0
0.6521867,-0.94827914,2.7079122,-0.7891303,0.0
0.47449577,-0.44510227,-0.033660058,-0.2595393,0.0
-2.2626255,-0.7679704,-0.74480695,-1.4761214,0.0
1.3217461,-0.36047494,1.0934958,-0.5270349,0.0
-0.80515593,-1.3564494,-1.5924518,-1.4094354,0.0
1.02476,-1.7606976,0.4601114,-1.3520367,0.0
0.09722673,-0.12238565,0.46460554,-2.2571878,0.0
0.68576413,-1.2842772,1.0677284,-2.1303248,0.0
-1.3440933,-1.988908,-1.3617928,-0.5666769,0.0
1.9558922,-1.0325476,1.3150383,-1.4127053,0.0
-1.5039927,-1.6468439,-1.8774542,-1.1504683,0.0
0.8912043,-1.8089952,0.85817593,-0.31399703,0.0
1.145544,-0.30983612,2.0438166,-1.2103752,0.0
3.364168,-0.5264448,0.7134616,-1.7392781,0.0
-0.57136744,-1.6850119,-1.9671142,-2.2587502,0.0
-0.23770984,-1.2104721,1.324311,-1.2331333,0.0
1.9081082,-1.0555633,1.1501243,-1.0674692,0.0
0.21843289,1.8650681,0.8908713,0.6161989,0.0
0.3528051,-0.11831942,0.7710879,0.8505803,0.0
-0.7322967,-1.9185143,-1.2779807,-1.0290302,0.0
-1.1133684,-0.6931111,-1.6187992,-0.907252,0.0
2.1200686,0.069832094,1.5299225,-1.1768374,0.0
-0.30395395,-0.36841002,-1.3499107,-0.6198774,0.0
-1.0418783,-0.6545079,-0.79637206,-2.3968723,0.0
1.3112144,-0.69631535,0.47281787,-1.7860403,0.0
-0.9422908,-1.2585231,-2.1056054,-1.5725243,0.0
0.8749234,-0.47297624,0.5695391,-1.5776161,0.0
-0.2542366,-1.1806319,-0.11199173,-0.65601104,0.0
0.5051752,1.598889,2.1546366,1.7494274,0.0
-0.7251561,-0.6824901,-2.107556,-0.9648406,0.0
-2.1424105,-1.6334635,-2.264929,-1.1923918,0.0
-1.6502485,-1.35289,-1.0510004,0.32249516,0.0
-1.0794364,-0.8449091,-0.13567366,-1.7223687,0.0
-1.888999,-0.5318119,-0.52963877,-0.73105854,0.0
1.6099081,0.057814226,1.0884657,2.3572502,0.0
0.96808976,1.1703376,0.83113474,1.2464387,0.0
1.1275961,-1.9199396,1.0970445,-0.6513216,0.0
0.8721906,-1.3882153,1.8223332,0.48120844,0.0
-0.2818014,0.14008932,-0.45291162,0.9397512,0.0
0.7699671,1.4222312,0.6191202,0.886045,0.0
1.3939981,-1.0964187,1.5461411,-1.8219416,0.0
-1.664267,-1.634832,-2.645319,0.17100774,0.0
1.7591343,-1.1483227,0.6733667,-1.515831,0.0
1.2222173,0.7669977,0.9346292,0.62946755,0.0
2.4170167,0.045778196,1.1327943,0.53661245,0.0
0.8269758,0.522611,0.298866,0.8032298,0.0
0.18960519,-1.2812566,-0.5230464,-1.8075846,0.0
-1.4252306,-1.2830534,-1.4803954,-2.0028698,0.0
-1.5676258,-0.74323016,-1.5183431,-0.3946229,0.0
-1.3102844,-1.2020025,-1.0801916,-0.9411339,0.0
0.51184505,-0.20329477,0.62975854,-0.45568275,0.0
2.1719894,-1.6306448,0.2911201,-2.2319713,0.0
0.5753098,1.1478986,1.8400552,0.65566826,0.0
0.35163262,-1.1832465,0.580451,-0.13519776,0.0
0.5633617,2.339822,0.8665223,1.152203,0.0
-1.7491341,0.20332843,-1.6274328,-0.84648836,0.0
-1.8314357,-1.2781262,-0.62594455,-0.9362345,0.0
2.0163486,-1.6632715,1.8771408,-1.0631701,0.0
-0.96810526,-0.563615,-0.5075919,0.5084501,0.0
0.42482343,0.13647045,0.63060904,-1.7890998,0.0
1.6231389,1.7246746,-0.29233152,0.3493424,0.0
0.73461056,0.85749376,0.5928234,0.2896703,0.0
1.4368839,1.4398419,0.99142724,0.37192193,0.0
0.93879527,1.3838238,1.6647162,0.95840937,0.0
0.044870403,-1.6497861,1.5667603,-0.83850175,0.0
1.7578838,0.67021275,0.9344547,1.9280577,0.0
-1.1511724,-0.34376577,0.14454648,-0.08181459,0.0
0.7479725,0.49034604,1.261344,1.2186648,0.0
-0.9774998,-2.2080398,-0.98436254,0.185483,0.0
0.5527268,0.073837146,2.1494107,1.706872,0.0
-0.8332801,-1.5885403,-0.84555846,-1.2464614,0.0
1.7346869,0.62533534,1.9221759,1.1383197,0.0
1.6347839,-2.0162842,0.5347094,-1.0847528,0.0
-0.45887905,2.2072875,0.79878676,1.2011303,0.0
1.060933,0.79069483,1.0642326,-0.39129823,0.0
-0.3831973,-0.999072,-0.7232053,-1.6702982,0.0
-1.2136322,-0.26716176,-1.2346709,-1.9387453,0.0
1.8766425,-0.2044811,1.0721825,-1.3160118,0.0
0.49822438,-0.30657563,0.94212353,0.91477674,0.0
-0.45446828,0.7757915,2.1503646,1.2524536,0.0
0.9082221,-1.404274,1.4880667,-1.2432674,0.0
0.93236345,0.70882314,0.33797777,1.4257723,0.0
1.3605334,3.696912,1.3996234,1.794896,0.0
0.82740027,-0.48540753,1.0044671,-2.293781,0.0
-0.2507444,-0.1096753,-1.0775688,-1.2717701,0.0
0.806873,-1.8570815,1.3965787,-1.4539285,0.0
-1.9415101,-1.6027348,-0.035973344,-0.28597444,0.0
0.40116212,-1.1915393,0.26336938,-1.3328741,0.0
1.8004962,-0.9254542,0.40969118,-0.5085788,0.0
-0.06795942,1.8838089,0.6136993,2.7907395,0.0
1.6660146,0.7434451,-0.19271012,0.3528738,0.0
0.62701464,-1.5734866,1.668772,-1.8382726,0.0
1.0504258,0.8514537,0.3336571,1.0542364,0.0
-1.1331686,-2.0482128,-0.045739718,-1.2125382,0.0
0.65932655,-0.33948156,1.4945538,-1.0133855,0.0
-0.11833381,0.043096267,2.4381604,0.07996474,0.0
-1.3417917,-0.5566712,-0.9841584,-1.9838941,0.0
1.4294221,-1.0227528,1.5813487,-1.634058,0.0
0.21421863,0.35774803,1.712363,1.1900467,0.0
-1.3389808,-1.0321501,-1.0115979,-0.52167284,0.0
-1.4589814,-1.1649978,-1.6576242,-0.21652856,0.0
0.3775314,1.6687104,1.6132327,2.0308695,0.0
